system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching F:\Programmeren\C++\SlimeVolley\
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09050] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09051] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09051] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09052] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09053] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09059] added dtor for object 0739B540, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09072] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09073] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09112] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09114] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09114] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09115] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09116] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09116] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09117] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09118] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09118] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09119] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09119] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09120] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09121] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09128] added dtor for object 07393180, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09145] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09146] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09188] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09189] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09189] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09190] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09191] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09191] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09192] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09192] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09193] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09194] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09194] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09195] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09196] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09203] added dtor for object 0739B640, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09215] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09216] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09256] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09257] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09257] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09258] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09259] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09259] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09260] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09260] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09265] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09266] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09266] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09267] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09268] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09275] added dtor for object 07396AD0, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09287] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09288] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09334] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09336] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09337] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09338] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09339] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09340] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09340] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09341] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09342] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09343] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09344] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09345] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09346] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09357] added dtor for object 07396BD0, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09369] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09370] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09414] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09415] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09416] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09417] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09418] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09419] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09420] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09421] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09422] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09423] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09424] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09425] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09426] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09434] added dtor for object 07396CD0, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09449] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09451] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09496] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09498] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09498] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09499] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09500] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09500] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09501] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09502] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09502] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09503] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09504] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09504] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09505] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09514] added dtor for object 073AAC68, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09525] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09527] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09557] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09559] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09559] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09560] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09560] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09561] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09562] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09562] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09563] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09563] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09564] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09565] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09565] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09571] added dtor for object 073D4E88, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09580] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09582] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09612] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09613] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09614] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09614] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09615] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09616] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09617] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09617] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09618] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09619] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09619] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09620] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09621] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09626] added dtor for object 073D4888, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09635] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09636] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09667] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09669] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09670] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09670] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09671] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09671] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09672] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09673] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09673] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09674] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09675] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09682] added dtor for object 073D4D88, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09690] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09692] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09723] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09724] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09724] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09725] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09726] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09726] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09727] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09727] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09728] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09729] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09729] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09730] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09731] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09736] added dtor for object 073D4988, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.09745] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.09747] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09773] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09774] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09775] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09776] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09776] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09777] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09777] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09778] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09779] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.09779] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.09780] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.09781] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.09781] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.09788] added dtor for object 073D5B88, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10058] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10060] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10111] removed dtor for object 073D5B88
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   0.10113] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10167] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10169] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10171] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10172] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10173] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10173] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10174] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10175] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.10176] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.10177] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.10178] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.10179] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.10180] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.10193] added dtor for object 073D4388, func 0F0A2590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10383] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10385] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.10474] removed dtor for object 073D4388
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   0.10476] d3d_destroy_bitmap: Release video texture failed.
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.10706] Font ./assets/fonts/digital.ttf loaded with pixel size 0 x 26.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.10707]     ascent=19.0, descent=4.0, height=14.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.10709] added dtor for object 00B8A9E8, func 0F0A1B36
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10816] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10821] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10840] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10841] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.10923] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.10926] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11011] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11014] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11099] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11101] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11116] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11117] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11127] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11128] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11138] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11139] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11147] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11148] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11158] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11159] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11169] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11170] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11180] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11181] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11189] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11191] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11199] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11200] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11209] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11210] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11219] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11220] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11228] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11230] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.11238] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.11239] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14549] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14551] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14551] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14552] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14552] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14553] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14554] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14554] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14555] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.14555] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.14556] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.14557] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.14557] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.14585] Glyph 54: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.14598] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.14599] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.14655] Glyph 76: 4x19 (4x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14660] Glyph 81: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14664] Glyph 74: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14667] Glyph 79: 13x19 (16x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14671] Glyph 72: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14674] Glyph 83: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14678] Glyph 68: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14682] Glyph 92: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14685] Glyph 85: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14696] Glyph 48: 12x19 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.14705] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.14706] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.14737] Glyph 88: 12x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   0.14742] Glyph 87: 13x19 (16x20)
